Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
01-01-2020,308.6025391,309.9866138,306.4802743,308.8332182,17379320
02-01-2020,313.0777588,313.5852699,307.5876114,308.64873,20324236
03-01-2020,307.9105225,311.8320678,306.3418931,311.8320678,21853208
06-01-2020,294.3466187,306.0651317,293.1470982,306.0651317,35645325
07-01-2020,293.7929382,301.728306,291.0247886,299.3753901,50966826
08-01-2020,295.0847778,296.6534074,286.9648825,287.9798764,44527485
09-01-2020,304.6810303,305.7882733,299.8828927,301.6360486,40348407
10-01-2020,306.5725708,311.8320663,302.7433028,305.4191751,42377838
13-01-2020,305.1885376,309.5253172,303.619908,308.1873668,23615129
14-01-2020,302.651062,306.0651249,301.266987,304.3119407,26296117
15-01-2020,299.1908569,303.7583154,297.437701,303.5737608,32625740
16-01-2020,298.31427,301.6360555,297.4377061,298.9601829,26653623
17-01-2020,293.4238586,298.4987996,286.1344036,288.810276,58396326
20-01-2020,289.7330322,296.6072826,289.1793966,296.1920489,30682902
21-01-2020,289.4562073,292.4550362,287.8875778,289.5484564,30591772
22-01-2020,291.7168579,292.5011727,289.4562191,292.5011727,24994911
23-01-2020,298.2220154,299.6983394,289.8714133,291.5784446,33293610
24-01-2020,299.0063171,302.0051462,296.3304445,298.4988342,22706879
27-01-2020,291.7630005,297.1147455,291.3938913,296.0997516,23309355
28-01-2020,290.7480469,295.2693532,287.0110272,293.3777952,26488426
29-01-2020,291.9936829,294.9925118,291.1632154,293.2854805,23914114
30-01-2020,286.6880493,292.2704733,282.0283137,292.2704733,35802330
31-01-2020,293.8391113,296.8379403,284.7503472,289.4562075,92656638
03-02-2020,275.0618286,283.135599,272.5243579,279.5831344,56060158
04-02-2020,282.5819702,283.7814906,274.1391186,279.4908638,51141567
05-02-2020,286.9649048,289.4100985,281.0595233,283.1817605,35014841
06-02-2020,297.0686035,298.4988029,286.1344068,287.1494006,57757656
07-02-2020,295.7767639,299.8828636,293.7929291,296.6533559,37126803
10-02-2020,293.8852539,297.8529242,292.0398206,295.0847743,24816396
11-02-2020,299.2831421,300.6210643,296.2381603,296.2381603,30188757
12-02-2020,295.4538269,304.4041598,294.577235,304.4041598,38930849
13-02-2020,302.1435547,305.3730627,297.1147381,297.1147381,62516057
14-02-2020,294.7156677,306.2496249,293.931353,302.7433132,48205947
17-02-2020,289.9176025,296.3304668,287.564658,296.1459404,36950692
18-02-2020,293.0086365,294.5311413,285.488502,291.0248015,38588583
19-02-2020,295.5922546,298.9601644,292.7318277,297.391535,39846727
20-02-2020,302.3280945,303.7583221,294.1159222,294.6695578,40150409
24-02-2020,297.991333,305.695994,296.9763391,300.5749282,45273936
25-02-2020,301.5437622,302.7894352,297.2992885,300.7133229,39050709
26-02-2020,302.8356018,305.2346425,299.1447354,299.7444955,43915281
27-02-2020,297.0686035,304.4964605,293.4238619,302.6510274,47010040
28-02-2020,279.5831299,290.3327726,277.829974,287.8875793,59705346
02-03-2020,265.1887207,287.8875526,262.0976147,286.9648361,66711413
03-03-2020,267.4494324,271.647782,263.2510546,270.3559843,61949382
04-03-2020,263.2510071,270.3559354,253.8393156,269.2486644,73675736
05-03-2020,266.2037354,275.3386239,249.1334785,268.4182495,149245973
06-03-2020,249.5948639,253.1934533,234.3238999,247.2880722,106043172
09-03-2020,233.8625183,242.4437855,231.7402673,239.9524394,101286241
11-03-2020,226.1578522,238.5222494,224.3124189,233.4473079,90845604
12-03-2020,196.1695709,213.9779915,192.4787042,213.9779915,99767083
13-03-2020,223.2974091,229.5718845,170.3796083,184.5433133,155701316
16-03-2020,206.0887604,213.5166178,203.5512897,210.2871097,75583409
17-03-2020,198.5224609,212.1325301,195.6620481,209.6411982,65403057
18-03-2020,198.5686035,205.9041974,184.6355917,203.9203625,101356399
19-03-2020,187.9112396,202.7669833,182.8362981,187.2653408,93533467
20-03-2020,193.6320801,199.0299636,184.5433161,189.664396,77391650
23-03-2020,167.5653381,184.0819594,166.3196651,175.3161518,61750037
24-03-2020,169.0416718,177.1154417,160.1374625,176.1927251,67491360
25-03-2020,175.223877,180.1604164,162.8133415,164.243555,71567553
26-03-2020,177.8536072,185.4660184,170.7948315,176.7463502,107260359
27-03-2020,180.8063202,195.5236476,179.9297422,186.3887586,114740377
30-03-2020,172.4557343,179.9297447,171.8559741,175.3161615,60081554
